artist,music_type
The Mowgli's,Type B
BØRNS,Type B
Pitbull,Type B
Jess Glynne,Type B
Bleachers,Type B
Unknown Mortal Orchestra,Type B
Cage the Elephant,Type B
B.o.B,Type B
Phoenix,Type B
The Beatles,Type B
Justice,Type B
Dirty Projectors,Type B
Grouplove,Type B
Michael Bublé,Type B
Janelle Monáe,Type B
Anne-Marie,Type B
Omi,Type B
Modest Mouse,Type B
Nick Cave & The Bad Seeds,Type B
Freelance Whales,Type B
Holy Ghost!,Type B
Cold War Kids,Type B
Edward Sharpe & The Magnetic Zeros,Type B
Bombay Bicycle Club,Type B
Panic! at the Disco,Type B
Brandon Flowers,Type B
Sebastian,Type B
Jason Mraz,Type B
Mika,Type B
Noah and the Whale,Type B
Alex Clare,Type B
Broncho,Type B
Jonas Brothers,Type B
Cansei de Ser Sexy,Type B
Ra Ra Riot,Type B
Cherub,Type B
Jorge Ben,Type B
Smallpools,Type B
Crystal Fighters,Type B
Girl Talk,Type B
Meghan Trainor,Type B
Hot Hot Heat,Type B
OK Go,Type B
The Beach Boys,Type B
Smash Mouth,Type B
Matt & Kim,Type B
Simple Plan,Type B
Tenacious D,Type B
fun.,Type B
The Fratellis,Type B
Wavves,Type B
Fall Out Boy,Type B
Hey Monday,Type B
Jax Jones,Type B
Arcade Fire,Type B
The Gaslight Anthem,Type B
Gogol Bordello,Type B
Lily Allen,Type B
Ween,Type B
3OH!3,Type B
The Shoes,Type B
Cap'n Jazz,Type B
Slightly Stoopid,Type B
Saint Motel,Type B
Run the Jewels,Type B
OutKast,Type B
Cut Copy,Type B
Chance the Rapper,Type B
Paramore,Type B
Dua Lipa,Type B
MisterWives,Type B
Jennifer Lopez,Type B
Alpine,Type B
Lunchmoney Lewis,Type B
Juelz Santana,Type B
MF DOOM,Type B
The Drums,Type B
Bloodhound Gang,Type B
Disclosure,Type B
American Authors,Type B
The Griswolds,Type B
Star Slinger,Type B
The New Pornographers,Type B
Ghost,Type B
5 Seconds of Summer,Type B
BTS,Type B
Len,Type B
We the Kings,Type B
Electric Guest,Type B
The Smiths,Type B
Dilated Peoples,Type B
Walk the Moon,Type B
The Offspring,Type B
Santigold,Type B
Discovery,Type B
Tegan and Sara,Type B
Sunny Day Real Estate,Type B
Portugal. The Man,Type B
The Apples in Stereo,Type B
Manu Chao,Type B
Ace of Base,Type B
Josh Rouse,Type B
George Harrison,Type B
Jens Lekman,Type B
The Avett Brothers,Type B
The Summer Set,Type B
I'm from Barcelona,Type B
Anti-Flag,Type B
Weezer,Type B
Sufjan Stevens,Type B
Anima Sound System,Type B
Polaris,Type B
Cœur de Pirate,Type B
Sonny & Cher,Type B
Paulina Rubio,Type B
Good Shoes,Type B
Netsky,Type B
Katrina and the Waves,Type B
Winifred Atwell,Type B
Deerhoof,Type B
Kylie Minogue,Type B
Elvis Presley,Type B
Givers,Type B
Relient K,Type B
ORANGE RANGE,Type B
Those Dancing Days,Type B
Mark Ronson,Type B
The Wombats,Type B
Джанго,Type B
Halima Ahkdar,Type B
Karen O and the Kids,Type B
Architecture in Helsinki,Type B
Eagles of Death Metal,Type B
The Dear Hunter,Type B
Mahamajama,Type B
The Go! Team,Type B
Jonathan Larson,Type B
Tullycraft,Type B
Александр Пушной,Type B
The Dismemberment Plan,Type B
B*Witched,Type B
Lindsay Lohan,Type B
Toby Keith,Type B
Jessie J,Type B
Marcos Valle,Type B
Colonel Abrams,Type B
Jonathan Edwards,Type B
Rymdkraft,Type B
Cloud Nothings,Type B
Far East Movement,Type B
Swiss Lips,Type B
DJ Food,Type B
Art Garfunkel,Type B
The Polyphonic Spree,Type B
Carpenters,Type B
Mark Mothersbaugh,Type B
Jamie T,Type B
Sebastian Ingrosso,Type B
Yun*chi,Type B
miRthkon,Type B
Luiz Melodia,Type B
Marty Wilde,Type B
Alejandro Sanz,Type B
Slow Club,Type B
Airto Moreira,Type B
Petra Haden,Type B
The National,Type B
X-Perience,Type B
Minutemen,Type B
Valvomo,Type B
Joyce,Type B
Sha Na Na,Type B
Gilberto Gil,Type B
Nullsleep,Type B
ABBA,Type B
Nizlopi,Type B
George Benson,Type B
Guillemots,Type B
The 1975,Type B
Years & Years,Type B
Detektivbyrån,Type B
